INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	100	1	1	1	1
MIN	200	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
0	110	2	3	1	1
0	110	2	3	1	2
0	110	2	3	1	3
0	110	2	3	2	1
0	110	2	3	2	2
0	110	2	3	2	3
0	110	2	3	3	1
0	110	2	3	3	2
0	110	2	3	3	3
0	110	3	1	1	1
0	110	3	1	1	2
0	110	3	1	1	3
0	110	3	1	2	1
0	110	3	1	2	2
0	110	3	1	2	3
0	110	3	1	3	1
0	110	3	1	3	2
0	110	3	1	3	3
0	110	3	2	1	1
0	110	3	2	1	2
0	110	3	2	1	3
0	110	3	2	2	1
0	110	3	2	2	2
0	110	3	2	2	3
0	110	3	2	3	1
0	110	3	2	3	2
0	110	3	2	3	3
0	110	3	3	1	1
0	110	3	3	1	2
0	110	3	3	1	3
0	110	3	3	2	1
0	110	3	3	2	2
0	110	3	3	2	3
0	110	3	3	3	1
0	110	3	3	3	2
0	110	3	3	3	3
1	111	1	1	1	1
1	111	1	1	1	2
1	111	1	1	1	3
0	111	1	1	2	1
0	111	1	1	2	2
0	111	1	1	2	3
0	111	1	1	3	1
0	111	1	1	3	2
0	111	1	1	3	3
1	111	1	2	1	1
1	111	1	2	1	2
1	111	1	2	1	3
0	111	1	2	2	1
0	111	1	2	2	2
0	111	1	2	2	3
0	111	1	2	3	1
0	111	1	2	3	2
0	111	1	2	3	3
1	111	1	3	1	1
1	111	1	3	1	2
1	111	1	3	1	3
0	111	1	3	2	1
0	111	1	3	2	2
0	111	1	3	2	3
0	111	1	3	3	1
0	111	1	3	3	2
0	111	1	3	3	3
0	111	2	1	1	1
0	111	2	1	1	2
0	111	2	1	1	3
0	111	2	1	2	1
0	111	2	1	2	2
0	111	2	1	2	3
0	111	2	1	3	1
0	111	2	1	3	2
0	111	2	1	3	3
0	111	2	2	1	1
0	111	2	2	1	2
0	111	2	2	1	3
0	111	2	2	2	1
0	111	2	2	2	2
0	111	2	2	2	3
0	111	2	2	3	1
0	111	2	2	3	2
0	111	2	2	3	3
0	111	2	3	1	1
0	111	2	3	1	2
0	111	2	3	1	3
0	111	2	3	2	1
0	111	2	3	2	2
0	111	2	3	2	3
0	111	2	3	3	1
0	111	2	3	3	2
0	111	2	3	3	3
